generation rock paper scissors lizzard spock
411 2623 1330 28586 69320 58341
412 2713 1285 28849 70762 56591
413 2815 1252 29064 72151 54918
414 2939 1226 29427 73575 53033
415 3063 1174 29955 74621 51387
416 3183 1127 30461 75750 49679
417 3374 1080 31134 76688 47924
418 3555 1015 31857 77488 46285
419 3742 950 32651 78099 44758
420 3941 909 33411 78621 43318
421 4139 870 34281 79021 41889
422 4414 810 35135 79334 40507
423 4679 765 36301 79210 39245
424 4960 725 37277 79155 38083
425 5241 675 38411 78937 36936
426 5531 657 39606 78495 35911
427 5913 608 40972 77726 34981
428 6290 571 42144 76972 34223
429 6758 534 43352 76094 33462
430 7236 502 44729 74988 32745
431 7747 464 46035 73890 32064
432 8317 436 47303 72582 31562
433 8895 422 48629 71149 31105
434 9537 399 49737 69617 30910
435 10205 380 50806 68078 30731
436 10892 364 51830 66456 30658
437 11674 336 52876 64769 30545
438 12479 323 53762 63058 30578
439 13337 305 54729 61241 30588
440 14232 277 55426 59492 30773
441 15212 263 55902 57739 31084
442 16278 250 56137 56086 31449
443 17287 238 56466 54345 31864
444 18302 223 56854 52484 32337
445 19486 204 56768 50767 32975
446 20663 193 56618 49013 33713
447 21779 191 56273 47431 34526
448 22922 188 55783 45903 35404
449 24134 183 55182 44410 36291
450 25335 167 54429 42941 37328
451 26574 165 53460 41614 38387
452 27803 162 52369 40264 39602
453 28820 162 51167 39112 40939
454 29937 159 49791 38018 42295
455 31049 155 48474 36875 43647
456 32100 157 46950 35803 45190
457 33041 162 45388 34821 46788
458 33814 159 43749 34054 48424
459 34644 162 42061 33288 50045
460 35351 157 40364 32677 51651
461 35888 162 38754 32077 53319
462 36281 157 37059 31564 55139
463 36645 157 35313 31120 56965
464 36879 159 33615 30801 58746
465 37052 161 31901 30594 60492
466 37042 164 30240 30422 62332
467 36952 163 28544 30309 64232
468 36744 164 26899 30324 66069
469 36425 170 25459 30385 67761
470 36149 179 24086 30458 69328
471 35696 187 22797 30685 70835
472 35109 197 21489 31064 72341
473 34546 205 20280 31468 73701
474 33927 224 19092 32022 74935
475 33270 240 17983 32537 76170
476 32560 248 16962 33201 77229
477 31903 260 16027 34019 77991
478 31210 277 15104 34835 78774
479 30471 291 14323 35712 79403
480 29724 302 13610 36702 79862
481 29069 320 12793 37827 80191
482 28365 335 12075 38993 80432
483 27729 356 11497 40177 80441
484 27111 378 10922 41513 80276
485 26517 402 10367 42931 79983
486 26021 425 9871 44400 79483
487 25591 423 9430 45892 78864
488 25081 430 9059 47454 78176
489 24707 447 8691 49225 77130
490 24310 463 8378 50979 76070
491 24040 480 8075 52547 75058
492 23805 492 7792 54326 73785
493 23521 498 7561 56066 72554
494 23390 508 7362 57927 71013
495 23352 524 7133 59761 69430
496 23294 526 6945 61602 67833
497 23375 536 6782 63430 66077
498 23477 540 6633 65303 64247
499 23557 547 6511 67101 62484
500 23755 550 6417 68852 60626
501 24007 554 6360 70529 58750
502 24264 554 6308 72117 56957
503 24735 546 6256 73714 54949
504 25218 536 6255 74986 53205
505 25860 531 6244 76101 51464
506 26548 531 6241 77214 49666
507 27247 526 6255 78190 47982
508 28015 515 6255 79079 46336
509 28912 519 6277 79679 44813
510 29878 517 6312 80270 43223
511 30800 520 6374 80899 41607
512 31874 519 6396 81219 40192
513 33101 522 6455 81212 38910
514 34388 511 6508 81142 37651
515 35813 498 6538 80795 36556
516 37240 495 6552 80389 35524
517 38668 485 6627 79905 34515
518 40255 477 6637 79149 33682
519 41894 480 6695 78210 32921
520 43656 472 6745 77178 32149
521 45445 466 6811 75970 31508
522 47140 470 6840 74655 31095
523 49033 465 6802 73297 30603
524 50975 460 6709 71831 30225
525 52900 459 6660 70253 29928
526 54761 452 6564 68644 29779
527 56627 461 6427 67059 29626
528 58518 462 6303 65306 29611
529 60306 469 6162 63581 29682
530 62076 466 6106 61764 29788
531 63877 485 5971 59955 29912
532 65576 492 5827 58108 30197
533 67261 500 5689 56266 30484
534 68777 506 5538 54492 30887
535 70302 514 5364 52621 31399
536 71626 536 5156 50850 32032
537 72844 553 4955 49077 32771
538 74002 565 4731 47432 33470
539 74933 577 4505 45822 34363
540 75875 596 4270 44264 35195
541 76517 626 4042 42925 36090
542 76917 659 3772 41638 37214
543 77291 685 3549 40306 38369
544 77528 728 3354 39066 39524
545 77524 785 3132 37920 40839
546 77552 843 2923 36736 42146
547 77252 876 2738 35707 43627
548 76748 938 2561 34775 45178
549 76154 998 2390 33836 46822
550 75451 1087 2220 33004 48438
551 74531 1167 2079 32262 50161
552 73439 1244 1915 31810 51792
553 72235 1333 1803 31372 53457
554 70859 1439 1710 30939 55253
555 69427 1559 1587 30710 56917
556 67959 1673 1485 30421 58662
557 66435 1788 1382 30286 60309
558 64752 1928 1295 30223 62002
559 63155 2085 1200 30183 63577
560 61436 2235 1120 30297 65112
561 59640 2417 1027 30466 66650
562 57904 2574 945 30646 68131
563 56228 2744 869 30870 69489
564 54448 2938 795 31313 70706
565 52749 3160 736 31842 71713
566 50913 3374 685 32488 72740
567 49302 3649 644 33025 73580
568 47792 3874 584 33710 74240
569 46140 4149 568 34491 74852
570 44509 4445 527 35379 75340
571 43016 4743 503 36468 75470
572 41581 5008 474 37616 75521
573 40262 5289 436 38782 75431
574 39028 5619 414 39983 75156
575 37897 5942 388 41295 74678
576 36657 6225 362 42799 74157
577 35631 6554 342 44320 73353
578 34612 6836 328 45922 72502
579 33796 7175 314 47488 71427
580 32968 7446 298 49175 70313
581 32234 7759 300 51004 68903
582 31646 8041 285 52776 67452
583 31199 8338 279 54532 65852
584 30814 8575 269 56320 64222
585 30528 8799 261 57993 62619
586 30208 8993 254 59812 60933
587 29988 9242 251 61635 59084
588 29938 9400 245 63361 57256
589 29818 9597 244 65070 55471
590 29924 9754 234 66734 53554
591 30015 9940 241 68413 51591
592 30235 10022 234 69913 49796
593 30435 10093 231 71520 47921
594 30737 10135 227 73031 46070
595 31285 10137 230 74448 44100
596 31862 10127 236 75601 42374
597 32494 10081 234 76785 40606
598 33203 10025 239 77803 38930
599 34031 10003 251 78610 37305
600 34907 9933 253 79357 35750
601 35969 9903 257 79841 34230
602 37077 9869 258 80093 32903
603 38200 9786 255 80286 31673
604 39391 9709 245 80443 30412
605 40729 9585 247 80363 29276
606 42073 9494 251 80109 28273
607 43508 9421 256 79751 27264
608 45093 9370 261 79108 26368
609 46751 9304 261 78354 25530
610 48330 9252 263 77615 24740
611 50068 9198 269 76598 24067
612 51888 9194 276 75468 23374
613 53580 9195 286 74334 22805
614 55474 9205 280 72928 22313
615 57455 9246 281 71452 21766
616 59315 9279 286 69872 21448
617 61194 9353 284 68211 21158
618 62892 9462 292 66541 21013
619 64705 9581 291 64705 20918
620 66363 9786 282 62918 20851
621 68056 9956 279 61129 20780
622 69691 10155 273 59333 20748
623 71125 10464 271 57524 20816
624 72663 10735 268 55701 20833
625 73999 11139 271 53805 20986
626 75161 11450 267 52062 21260
627 76203 11849 261 50389 21498
628 77079 12357 260 48836 21668
629 77857 12888 241 47285 21929
630 78579 13421 238 45803 22159
631 79063 14096 240 44408 22393
632 79335 14773 237 43047 22808
633 79693 15401 227 41717 23162
634 79799 16114 213 40508 23566
635 79780 16912 209 39280 24019
636 79614 17806 201 38178 24401
637 79170 18792 191 37152 24895
638 78716 19833 178 36082 25391
639 78060 20926 171 35184 25859
640 77313 21979 158 34418 26332
641 76327 23228 145 33735 26765
642 75278 24486 131 33040 27265
643 74181 25779 126 32430 27684
644 72967 27128 120 31971 28014
645 71738 28630 116 31552 28164
646 70204 30218 118 31186 28474
647 68709 31823 113 30931 28624
648 67114 33462 113 30732 28779
649 65592 35166 106 30570 28766
650 63743 37087 101 30545 28724
651 62003 38888 98 30622 28589
652 60137 40763 91 30880 28329
653 58283 42558 91 31178 28090
654 56436 44445 96 31513 27710
655 54707 46223 97 31970 27203
656 52904 48084 95 32462 26655
657 51215 49749 87 33123 26026
658 49487 51413 87 33771 25442
659 47872 53033 94 34592 24609
660 46344 54619 93 35381 23763
661 44882 56044 90 36309 22875
662 43447 57305 95 37335 22018
663 42122 58399 97 38432 21150
664 40749 59429 103 39655 20264
665 39663 60363 109 40738 19327
666 38626 61096 114 42004 18360
667 37518 61738 117 43382 17445
668 36491 62186 126 44885 16512
669 35590 62558 134 46312 15606
670 34702 62782 141 47828 14747
671 34063 62686 149 49446 13856
672 33374 62391 163 51214 13058
673 32801 61963 167 53023 12246
674 32334 61523 179 54727 11437
675 32006 60945 193 56383 10673
676 31648 60202 208 58113 10029
677 31334 59513 226 59791 9336
678 31114 58493 251 61615 8727
679 30968 57486 272 63356 8118
680 31010 56279 282 65068 7561
681 31125 55054 315 66657 7049
682 31321 53863 334 68101 6581
683 31521 52646 347 69547 6139
684 31886 51295 378 70907 5734
685 32293 49876 410 72258 5363
686 32818 48479 434 73462 5007
687 33412 47146 459 74471 4712
688 33924 45833 494 75555 4394
689 34608 44509 531 76456 4096
690 35490 43181 558 77133 3838
691 36493 41769 605 77721 3612
692 37537 40474 649 78150 3390
693 38652 39230 680 78445 3193
694 39774 38110 727 78582 3007
695 41096 37089 759 78436 2820
696 42409 36144 788 78194 2665
697 43932 35252 836 77672 2508
698 45357 34443 874 77152 2374
699 46891 33686 928 76437 2258
700 48465 33003 970 75610 2152
701 50162 32344 1004 74628 2062
702 51724 31851 1042 73619 1964
703 53412 31322 1092 72498 1876
704 55072 30870 1135 71297 1826
705 56891 30487 1173 69896 1753
706 58635 30186 1223 68448 1708
707 60358 30061 1274 66852 1655
708 62004 29971 1320 65286 1619
709 63676 29934 1336 63677 1577
710 65395 29985 1348 61946 1526
711 66921 30181 1370 60227 1501
712 68486 30361 1407 58486 1460
713 69878 30579 1421 56899 1423
714 71163 30926 1435 55274 1402
715 72409 31365 1437 53596 1393
716 73524 31803 1463 52018 1392
717 74771 32308 1497 50252 1372
718 75777 32965 1500 48578 1380
719 76699 33679 1507 46940 1375
720 77474 34415 1524 45420 1367
721 78099 35270 1530 43920 1381
722 78647 36272 1523 42407 1351
723 78883 37397 1548 41021 1351
724 78938 38533 1552 39827 1350
725 78922 39746 1558 38629 1345
726 78835 40962 1552 37495 1356
727 78568 42259 1545 36458 1370
728 78151 43681 1566 35443 1359
729 77610 45139 1557 34543 1351
730 76851 46741 1562 33690 1356
731 76013 48332 1571 32938 1346
732 74879 49979 1572 32438 1332
733 73763 51598 1582 31956 1301
734 72583 53269 1569 31483 1296
735 71447 54867 1571 31022 1293
736 69918 56735 1619 30648 1280
737 68528 58397 1646 30356 1273
738 67133 60081 1634 30103 1249
739 65581 61809 1675 29904 1231
740 63946 63429 1723 29895 1207
741 62291 65062 1757 29913 1177
742 60584 66652 1812 30002 1150
743 58876 68214 1839 30162 1109
744 57136 69698 1899 30384 1083
745 55605 70971 1961 30611 1052
746 53926 72241 2022 31006 1005
747 52108 73462 2096 31587 947
748 50410 74530 2202 32131 927
749 48773 75609 2258 32664 896
750 47118 76430 2374 33415 863
751 45638 77046 2494 34190 832
752 44201 77647 2593 34965 794
753 42901 77958 2733 35849 759
754 41596 78193 2888 36800 723
755 40375 78332 3062 37759 672
756 39146 78169 3284 38976 625
757 38075 77921 3495 40142 567
758 37094 77573 3727 41280 526
759 36059 77046 3994 42606 495
760 35209 76414 4274 43840 463
761 34474 75618 4533 45134 441
762 33754 74788 4837 46404 417
763 33201 73601 5172 47822 404
764 32731 72398 5537 49164 370
765 32212 71151 5923 50571 343
766 31907 69759 6377 51835 322
767 31666 68256 6758 53225 295
768 31505 66768 7198 54447 282
769 31408 65178 7722 55623 269
770 31440 63529 8264 56717 250
771 31551 61791 8853 57776 229
772 31690 60039 9474 58784 213
773 31882 58415 10093 59597 213
774 32152 56628 10778 60455 187
775 32544 54849 11494 61140 173
776 33111 53112 12258 61559 160
777 33588 51456 13019 61982 155
778 34289 49671 13886 62212 142
779 35091 47990 14733 62255 131
780 36039 46416 15523 62102 120
781 36963 44945 16325 61852 115
782 37906 43537 17264 61377 116
783 38978 42192 18134 60784 112
784 40084 40988 19043 59970 115
785 41275 39727 19930 59162 106
786 42621 38559 20821 58093 106
787 43977 37483 21710 56926 104
788 45387 36515 22572 55624 102
789 46843 35621 23399 54238 99
790 48401 34837 24105 52760 97
791 49960 34120 24826 51191 103
792 51609 33468 25606 49412 105
793 53150 32846 26305 47789 110
794 54806 32440 26860 45987 107
795 56591 32045 27272 44177 115
796 58330 31675 27704 42375 116
797 60073 31479 28028 40505 115
798 61852 31290 28244 38698 116
799 63477 31199 28489 36922 113
800 65123 31195 28551 35218 113
801 66769 31308 28530 33480 113
802 68254 31505 28425 31898 118
803 69850 31741 28299 30187 123
804 71128 32150 28153 28645 124
805 72463 32576 27899 27136 126
806 73679 33025 27645 25719 132
807 74846 33571 27212 24435 136
808 75833 34200 26831 23189 147
809 76679 34870 26426 22068 157
810 77393 35697 26003 20941 166
811 77977 36613 25649 19789 172
812 78483 37634 25181 18723 179
813 78739 38704 24777 17799 181
814 78998 39814 24350 16853 185
815 79003 41041 23927 16034 195
816 78759 42422 23531 15280 208
